epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.603,1.10252,0.87037,1.22162,0.70346,0.54074,0.61835,0.40258,1.29921,1.27375,1.36556,0.000664799,0.000664799,0.000664799
2,257.244,1.23665,1.00731,1.2984,0.59501,0.45926,0.46399,0.28431,1.52577,1.59692,1.49748,0.00131499,0.00131499,0.00131499
3,372.491,1.35459,1.13244,1.38892,0.70225,0.61111,0.68856,0.42256,1.36308,1.36081,1.38192,0.00194868,0.00194868,0.00194868
4,489.683,1.2922,1.10094,1.33928,0.72127,0.65,0.70908,0.45963,1.25387,1.019,1.35222,0.00192575,0.00192575,0.00192575
5,605.208,1.31111,1.19249,1.34297,0.77485,0.57997,0.66838,0.43201,1.3637,1.40418,1.40145,0.001901,0.001901,0.001901
6,719.341,1.24709,1.15118,1.31576,0.69949,0.70556,0.72157,0.45884,1.32111,1.19415,1.38805,0.00187625,0.00187625,0.00187625
7,843.119,1.31909,1.07915,1.36166,0.72335,0.63519,0.70467,0.46088,1.26995,1.10088,1.34276,0.0018515,0.0018515,0.0018515
8,959.482,1.28041,1.0321,1.32326,0.71652,0.61111,0.70424,0.44101,1.28134,1.12969,1.34385,0.00182675,0.00182675,0.00182675
9,1073.45,1.28099,1.10119,1.33642,0.65318,0.63333,0.62166,0.39955,1.28552,1.08184,1.35419,0.001802,0.001802,0.001802
10,1187.74,1.26206,0.99584,1.32711,0.75031,0.57778,0.65914,0.43872,1.28041,1.24413,1.34176,0.00177725,0.00177725,0.00177725
11,1303.18,1.25806,1.00798,1.31665,0.68717,0.68333,0.71159,0.47014,1.29506,1.17544,1.3638,0.0017525,0.0017525,0.0017525
12,1426.54,1.27178,0.97059,1.31597,0.75657,0.6463,0.71751,0.47378,1.2411,1.06031,1.3028,0.00172775,0.00172775,0.00172775
13,1542.45,1.26528,1.04605,1.31673,0.80872,0.61296,0.71541,0.46898,1.24793,1.04448,1.3294,0.001703,0.001703,0.001703
